home_score,away_score,home_team,away_team,date,win_score,lost_score
0,44,Swarthmore,Penn State,1891-10-17T00:00:00.000Z,44,0
32,6,Pennsylvania,Rutgers,1891-10-21T00:00:00.000Z,32,6
44,0,Amherst College,UMass,1891-10-21T00:00:00.000Z,44,0
10,6,Army,Fordham,1891-10-24T00:00:00.000Z,10,6
28,6,Navy,St. John's (Maryland),1891-10-24T00:00:00.000Z,28,6
6,26,Franklin & Marshall,Penn State,1891-10-24T00:00:00.000Z,26,6
12,10,Rutgers,Stevens,1891-10-24T00:00:00.000Z,12,10
0,30,UMass,Springfield,1891-10-24T00:00:00.000Z,30,0
0,18,Gettysburg,Penn State,1891-10-27T00:00:00.000Z,18,0
44,0,Rutgers,Columbia,1891-10-28T00:00:00.000Z,44,0
21,12,Navy,Rutgers,1891-10-31T00:00:00.000Z,21,12
20,4,Amherst College,UMass,1891-10-31T00:00:00.000Z,20,4
12,12,Princeton A.C.,Army,1891-10-31T00:00:00.000Z,12,12
0,4,Columbia A.C.,Rutgers,1891-11-02T00:00:00.000Z,4,0
21,12,New York A.C.,Rutgers,1891-11-03T00:00:00.000Z,21,12
6,0,Navy,Gallaudet,1891-11-07T00:00:00.000Z,6,0
70,4,Rutgers,New York University,1891-11-07T00:00:00.000Z,70,4
36,10,UMass,Worcester Polytechnic,1891-11-07T00:00:00.000Z,36,10
12,10,Bucknell,Penn State,1891-11-07T00:00:00.000Z,12,10
14,12,Army,Stevens,1891-11-07T00:00:00.000Z,14,12
16,4,Navy,Georgetown,1891-11-11T00:00:00.000Z,16,4
34,4,Navy,Dickinson,1891-11-14T00:00:00.000Z,34,4
6,27,Army,Rutgers,1891-11-14T00:00:00.000Z,27,6
14,0,Rutgers,New York Law,1891-11-18T00:00:00.000Z,14,0
6,6,Lafayette,Virginia,1891-11-20T00:00:00.000Z,6,6
12,58,Michigan,Cornell,1891-11-21T00:00:00.000Z,58,12
0,4,Navy,Lafayette,1891-11-21T00:00:00.000Z,4,0
0,16,UMass,Amherst College,1891-11-21T00:00:00.000Z,16,0
6,0,Army,Schuylkill Navy,1891-11-21T00:00:00.000Z,6,0
34,0,Rutgers,Manhattan A.C.,1891-11-24T00:00:00.000Z,34,0
16,6,UMass,Holy Cross,1891-11-26T00:00:00.000Z,16,6
16,32,Navy,Army,1891-11-28T00:00:00.000Z,32,16
0,10,Michigan,Cornell,1891-11-28T00:00:00.000Z,10,0
