home_score,away_score,home_team,away_team,date,win_score,lost_score
42,18,Purdue,DePauw,1893-11-30T00:00:00.000Z,42,18
22,14,Chicago,Northwestern,1893-12-16T00:00:00.000Z,22,14
39,0,Cornell,Syracuse,1894-09-26T00:00:00.000Z,39,0
16,10,UMass,Mount Hermon,1894-10-06T00:00:00.000Z,16,10
48,0,Princeton,Rutgers,1894-10-10T00:00:00.000Z,48,0
24,6,Lake Forest,Northwestern,1894-10-13T00:00:00.000Z,24,6
42,6,Beloit College,Northwestern,1894-10-20T00:00:00.000Z,42,6
54,6,Illinois,Lake Forest,1894-10-20T00:00:00.000Z,54,6
10,2,Minnesota,Grinnell,1894-10-20T00:00:00.000Z,10,2
12,8,Northwestern,Lake Forest,1894-10-26T00:00:00.000Z,12,8
5,12,Army,Yale,1894-10-27T00:00:00.000Z,12,5
8,18,Case,Michigan,1894-10-28T00:00:00.000Z,18,8
2,22,Illinois,Purdue,1894-11-17T00:00:00.000Z,22,2
14,18,Illinois,Indianapolis Artillery,1894-11-24T00:00:00.000Z,18,14
34,6,Northwestern,Beloit College,1895-10-05T00:00:00.000Z,34,6
26,5,Wisconsin,Lake Forest,1895-10-12T00:00:00.000Z,26,5
79,0,Illinois,Illinois College,1895-10-19T00:00:00.000Z,79,0
8,28,Army,Yale,1895-11-02T00:00:00.000Z,28,8
22,18,Missouri,Northwestern,1895-11-09T00:00:00.000Z,22,18
35,4,Pennsylvania,Penn State,1895-11-09T00:00:00.000Z,35,4
38,4,Illinois,Northwestern,1895-11-23T00:00:00.000Z,38,4
49,0,Navy,Franklin & Marshall,1896-10-10T00:00:00.000Z,49,0
22,8,Tufts,Boston College,1896-10-10T00:00:00.000Z,22,8
0,11,Army,Princeton,1896-10-17T00:00:00.000Z,11,0
22,28,Notre Dame,Purdue,1896-11-14T00:00:00.000Z,28,22
8,6,Army,Brown,1896-11-21T00:00:00.000Z,8,6
48,5,Carlisle,Penn State,1896-11-21T00:00:00.000Z,48,5
11,5,Navy,White Squadron,1896-11-23T00:00:00.000Z,11,5
4,4,Illinois,Purdue,1896-11-25T00:00:00.000Z,4,4
7,6,Chicago,Michigan,1896-11-26T00:00:00.000Z,7,6
38,6,Army,Trinity (CT),1897-10-02T00:00:00.000Z,38,6
53,0,Princeton,Rutgers,1897-10-06T00:00:00.000Z,53,0
48,6,Minnesota,Carleton,1897-10-09T00:00:00.000Z,48,6
12,9,Army,Wesleyan (CT),1897-10-09T00:00:00.000Z,12,9
